Age,Gender,Service_Quality,Product_Quality,Support_Quality,Waiting_Time,Value_for_Money,Ease_of_Use,Purchase_Frequency,Recommendation,Complaint_Resolution,Customer_Satisfaction
56,Male,1,2,5,2,1,5,5,3,2,Not Satisfied
46,Female,2,4,5,5,5,5,3,4,5,Satisfied
32,Male,3,2,2,1,4,3,1,5,1,Satisfied
60,Female,2,3,2,4,1,3,2,2,4,Not Satisfied
25,Male,2,1,5,4,2,2,8,1,1,Not Satisfied
38,Male,5,1,3,3,3,4,1,5,4,Satisfied
56,Female,4,4,5,4,1,4,7,2,4,Satisfied
36,Female,4,1,4,1,1,2,5,4,3,Satisfied
40,Female,3,4,5,3,2,4,3,4,3,Satisfied
28,Female,3,4,3,2,4,1,7,5,2,Satisfied
28,Male,4,4,4,4,1,4,9,2,2,Satisfied
41,Female,5,1,1,3,1,2,2,4,4,Not Satisfied
53,Male,4,4,1,1,4,4,8,5,1,Satisfied
57,Male,5,1,3,5,2,5,9,4,5,Satisfied
41,Female,3,4,5,5,1,3,3,4,5,Satisfied
20,Male,1,5,2,1,4,1,2,4,1,Not Satisfied
39,Male,3,4,3,1,1,5,7,3,1,Satisfied
19,Male,3,2,4,5,3,5,5,2,3,Not Satisfied
41,Male,2,4,4,3,5,2,5,5,5,Satisfied
61,Female,2,3,1,5,3,3,10,5,4,Satisfied
47,Female,2,4,4,1,1,3,5,2,2,Not Satisfied
55,Female,2,2,3,4,2,1,4,2,3,Not Satisfied
19,Female,5,2,4,2,5,2,5,2,5,Satisfied
38,Male,4,1,3,4,3,1,4,2,1,Not Satisfied
50,Male,1,5,2,4,4,4,6,1,5,Not Satisfied
29,Female,3,4,1,1,2,5,4,5,4,Satisfied
39,Female,5,1,4,5,3,1,2,1,3,Not Satisfied
61,Female,1,5,3,3,4,5,9,4,1,Not Satisfied
42,Male,5,4,5,4,1,2,2,4,4,Satisfied
44,Female,5,3,1,5,4,4,9,5,2,Satisfied
59,Female,3,4,2,3,3,2,10,4,3,Satisfied
